"filename", "language", "JavaScript", "JavaScript React", "CSS", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/olfat/Code/nerd-web/src/Contexts/UserContext.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 3, 10, 127
"/Users/olfat/Code/nerd-web/src/Pages/Classes.jsx", "JavaScript React", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/olfat/Code/nerd-web/src/Pages/Content.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/olfat/Code/nerd-web/src/Pages/Landing.jsx", "JavaScript React", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/olfat/Code/nerd-web/src/Pages/Lessons.jsx", "JavaScript React", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/olfat/Code/nerd-web/src/Pages/Modules.jsx", "JavaScript React", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/olfat/Code/nerd-web/src/Pages/Profile.jsx", "JavaScript React", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/olfat/Code/nerd-web/src/Pages/Search.jsx", "JavaScript React", 0, 41, 0, 0, 0, 0, 0, 0, 3, 44
"/Users/olfat/Code/nerd-web/src/Pages/Units.jsx", "JavaScript React", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/olfat/Code/nerd-web/src/Services/AdminAPI.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/Users/olfat/Code/nerd-web/src/Services/Authentication.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 36, 6, 95
"/Users/olfat/Code/nerd-web/src/Services/ClassAPI.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 70, 12, 233
"/Users/olfat/Code/nerd-web/src/Services/LessonAPI.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 53, 8, 159
"/Users/olfat/Code/nerd-web/src/Services/ModuleAPI.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 50, 8, 154
"/Users/olfat/Code/nerd-web/src/Services/ProgressAPI.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 1, 4, 73
"/Users/olfat/Code/nerd-web/src/Services/QuizAPI.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 92, 13, 271
"/Users/olfat/Code/nerd-web/src/Services/UnitAPI.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 46, 7, 152
"/Users/olfat/Code/nerd-web/src/index.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 4, 5, 50
"/Users/olfat/Code/nerd-web/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/olfat/Code/nerd-web/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 2242, 1176, 276, 3, 41835, 38, 20, 497, 296, 46383
